Unnamed: 0,Content
0,"Le locataire s'oblige à remettre à la signature de la présente, en dépôt à titre de cautionnement, chez le propriétaire une somme égale à un mois de loyer soit, ... dt. Ce montant sera restitué au locataire après l'expiration ou la résiliation du présent bail et la signature d'un constat contradictoire des lieux. Toute somme dépensée pour les réparations ou l'entretien qui s'avérant nécessaires à la remise en bon état des lieux sera défalquée de ladite somme déposée en cautionnement.
"
1,"En cas de non-paiement d'un seul terme de loyer, le présent bail sera résilié de plein droit, sans qu'il soit nécessaire de recourir à la justice.
"
2,"Le locataire déclare connaître parfaitement les lieux loués, qu'ils sont en bon état et il les accepte dans l'état où ils se trouvent, sans réserve ni conditions. A la fin du présent bail, les transformations, améliorations ou embellissement de toute nature exécutée par le locataire à ses frais et sous sa responsabilité, resteront la propriété du bailleur sans que le locataire puisse prétendre à aucune indemnité compensatrice. Le bailleur s'engage à assurer dans la mesure du possible la jouissance paisible des lieux loués. Toutefois, en cas de dommages causés par des tiers, le locataire n'aura aucun droit ni recours contre le bailleur.
"
3,"Le non-respect par le locataire des obligations mises à sa charge en vertu du présent bail donne au bailleur le droit de demander la résiliation du contrat.
"
4,"Les frais d'enregistrement du présent contrat sont à la charge du locataire qui s'y oblige.
"
5,"Pour l'exécution du présent bail, le locataire fait élection de domicile dans les lieux loués et le bailleur en son adresse."
6,"Le bailleur donne en location au locataire, qui accepte sous toutes les garanties de fait et de droit des locaux à usage ... ; consistant à ...,
situé à ...
"
7,"La présente location est consentie et acceptée pour une durée ... mois. Elle prend effet à compter du ... et expire le ..., renouvelable par tacite reconduction dans les mêmes conditions faute de congé donné par l'une des parties au moins six mois à l'avance par lettre recommandée avec accusé de réception ou par un huissier notaire. Le locataire peut toutefois quitter les lieux avant l'expiration de la première année après avoir avisé le bailleur trois mois auparavant.
En cas de renouvellement, le loyer sera majoré annuellement de cinq (5) % sur la base du loyer précédent.
"
8,"La présente location est consentie et acceptée moyennant un loyer de ... dinars payable mensuellement."
9,"Charges, taxes et impôts
Indépendamment du loyer, le preneur devra s'acquitter de toutes les charges, impôts et taxes dont les locataires sont habituellement tenus.
Il les réglera à chaque terme de loyer sous forme d'acomptes provisionnels, versés en même temps que le loyer."
10,"Le preneur ne pourra sous-louer tout ou partie des locaux loués, sans l'autorisation préalable et expresse du bailleur.
Si telle est l'intention du preneur, celui-ci doit faire connaître au bailleur son intention de sous-louer par acte extrajudiciaire ou par lettre recommandée avec accusé de réception."
11,"Un état des lieux du Local sera réalisé de manière contradictoire lors de l'entrée en jouissance du Preneur par une annexe jointe au présent contrat et établi en autant d'exemplaires qu'il y a de parties au contrat."
12,"Le Preneur s'engage à :
- jouir du Local conformément à sa destination et "< raisonnablement ">,
- n'exercer aucune activité contraire aux bonnes mœurs,
- satisfaire à toutes les charges de balayage, d'éclairage, de police, règlementation sanitaire, voirie, salubrité, hygiène, ain- si qu'à toutes celles pouvant résulter des plans d'aménagement de la ville, et à toutes les charges dont les locataires sont ordinairement tenus."
13,"En cas de décès du Preneur, ou de l'un deux s'ils sont plusieurs, pendant la durée du présent bail, il y aura solidarité et indivisibilité entre les héritiers ou ayant droits du Preneur, et, le cas échéant, entre ces mêmes héritiers et le ou les survivants des preneurs, pour le paiement des loyers et l'exécution de toutes les conditions du présent bail."
14,"A défaut du paiement d'un seul terme de loyer à son échéance ou d'exécution d'une seule des conditions du pré- sent bail, sans aucune formalité judiciaire et un mois après un simple commandement de payer rappelant la présente clause résolutoire et resté sans effet durant ce délai, le présent bail sera résilié de plein droit, si bon semble au Bailleur, et l'expulsion du Preneur pourra avoir lieu en vertu d'une simple ordonnance de référé, sans préjudice de tous dépens et dommages et intérêts, et sans que l'effet de la présente clause puisse être annulé par des offres réelles, passé le délai sus-indiqué."
